title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url
Sir Abdul,4.2,537,Pinkhas Ben Ya'ir St 4,Tel Aviv-Yafo,,IL,https://www.facebook.com/SirAbdul.jaffa/,+972 53-776-9738,Restaurant,https://www.google.com/maps/search/?api=1&query=Sir%20Abdul&query_place_id=ChIJU1iBKeZNHRURGGRbGFCD6as
Sunrise,4.3,298,Derech Ben Gurion 143,Bat Yam,,IL,https://bestrest.rest/ru/restaurants/sunrise,,Restaurant,https://www.google.com/maps/search/?api=1&query=Sunrise&query_place_id=ChIJDUU7DwWzAhURneYdA5_TSsI
Papa Johns Pizza,2.3,3,DELILA BEACH,Ashkelon,,IL,http://www.papajohns.co.il/?utm_source=yext-google-my-business&utm_medium=organic-search&utm_campaign=local-listing,+972 3-772-2277,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=Papa%20Johns%20Pizza&query_place_id=ChIJ7WSzIgedAhURzFS_XQ1Y4EM
Pizza Hut,3.8,466,Eli Cohen St 21,Ashkelon,,IL,https://www.pizzahut.co.il/branch/%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F/,+972 1-700-506-070,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=Pizza%20Hut&query_place_id=ChIJn7uOXEOcAhUR0uZ76JGLmkg
Papa Johns Pizza,,0,Jerusalem Blvd 95,Holon,,IL,http://www.papajohns.co.il/?utm_source=yext-google-my-business&utm_medium=organic-search&utm_campaign=local-listing,+972 3-772-2277,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=Papa%20Johns%20Pizza&query_place_id=ChIJnydpjhVNHRURs__RSPBUZRQ
מיסטר B דימונה,4.8,59,Derech HaShalom 23,Dimona,,IL,https://misterb.click-eat.co.il/,+972 77-543-5261,Hamburger restaurant,https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%99%D7%A1%D7%98%D7%A8%20B%20%D7%93%D7%99%D7%9E%D7%95%D7%A0%D7%94&query_place_id=ChIJe8LAljlFAhURnx0uXj1IqRw
פדרה ומדרה - padre and madre,4.8,88,פרץ סנטר 1 מרכז פרץ סנטר,Dimona,,IL,https://www.padre-madre.co.il/,+972 54-306-0966,Italian restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%93%D7%A8%D7%94%20%D7%95%D7%9E%D7%93%D7%A8%D7%94%20-%20padre%20and%20madre&query_place_id=ChIJjQ2XCNdHAhURHhf-Z94uRL0
The Miznon,4.6,60,"Manevech St and, Derech Barlev",Dimona,,IL,https://www.happycow.net/reviews/the-miznon-dimona-25849,+972 3-716-8977,Vegan restaurant,https://www.google.com/maps/search/?api=1&query=The%20Miznon&query_place_id=ChIJPbMpgv5HAhURMlcvjd8RhKQ
Pizza Hut,3.9,340,בן גוריון 134,Bat Yam,,IL,https://www.pizzahut.co.il/branch/%D7%91%D7%AA-%D7%99%D7%9D/,+972 1-700-506-070,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=Pizza%20Hut&query_place_id=ChIJw2fxTDmzAhUR-hHQKayD9mo
Adelina,4.5,2181,,Kabri,,IL,http://adelina.org.il/,+972 4-952-3707,Restaurant,https://www.google.com/maps/search/?api=1&query=Adelina&query_place_id=ChIJwbZ9YfPNHRURy2obsiIcKo4
"McDonald""s",3.5,462,HaKishon St 9,Yavne,,IL,https://www.mcdonalds.co.il/,+972 54-336-0226,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=McDonald%22s&query_place_id=ChIJM-13F4CwAhURKYpv2Yvr-r0
Pizza Stori Ashkelon,4.1,727,Eli Cohen St 37,Ashkelon,,IL,https://www.facebook.com/pizzastoryil?mibextid=LQQJ4d,+972 8-856-2562,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=Pizza%20Stori%20Ashkelon&query_place_id=ChIJ-5fywWucAhURk3ATR5r9l6s
סטאי תל אביב סושי בר - The Setai Tel Aviv Sushi bar,3.5,52,David Razi'el St 22,Tel Aviv-Yafo,,IL,https://www.thesetaihotels.com/en-us/hotels/tel-aviv,+972 3-601-6000,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%98%D7%90%D7%99%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91%20%D7%A1%D7%95%D7%A9%D7%99%20%D7%91%D7%A8%20-%20The%20Setai%20Tel%20Aviv%20Sushi%20bar&query_place_id=ChIJryPRFBxNHRURi36hz_mVn5I
McDonald's,3.5,945,,Be'er Tuvia,,IL,https://www.mcdonalds.co.il/,+972 52-944-0149,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=McDonald's&query_place_id=ChIJ9Z0Loe69AhURbgcUrgsYhh0
American Pizza,4.1,205,"1 מתחם מג'יק, Shevet Levi St 16",Ashdod,,IL,https://israelbusinessguide.com/catalog/ashdod/american_pizza_ashdod/,+972 8-866-6553,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=American%20Pizza&query_place_id=ChIJ8Uoi_16iAhURT1yxNn31RtM
McDonalds - Planet,3.2,686,HaMea VeEsrim St 4,Rishon LeZion,,IL,https://www.mcdonalds.co.il/,+972 52-944-0194,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=McDonalds%20-%20Planet&query_place_id=ChIJ6csj3MCzAhURfZXRckzWMCg
Gizel Restaurant,4.1,281,דרך הים 34,Yavne,,IL,https://www.myavne.co.il/gizel---%D7%92-%D7%99%D7%96%D7%9C-%D7%9E%D7%A1%D7%A2%D7%93%D7%AA-%D7%91%D7%A9%D7%A8%D7%99%D7%9D,+972 8-932-2755,Restaurant,https://www.google.com/maps/search/?api=1&query=Gizel%20Restaurant&query_place_id=ChIJmycMo4KwAhURljtCJA0vyCA
סוגיס,4.6,19,"Tsvi Bornstein St 801, 7",Yeruham,,IL,https://sugis.orderss.co.il/,+972 52-333-5207,Hamburger restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%95%D7%92%D7%99%D7%A1&query_place_id=ChIJ-xjBTLw_AhURRf94T8VZTM4
Abu Hassan,4.4,5074,Shivtei Israel St 14,Tel Aviv-Yafo,,IL,https://m.facebook.com/pages/Abu-Hassan/396398840415380,+972 3-682-8355,Restaurant,https://www.google.com/maps/search/?api=1&query=Abu%20Hassan&query_place_id=ChIJaTKN-LlMHRURZEm7OjbBl4I
Pizza Italiano,4.0,212,Johannesburg St 49,Ashkelon,,IL,http://sites.ashkelonim.co.il/ital,+972 8-678-8656,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Pizza%20Italiano&query_place_id=ChIJ7ahgxT6cAhURWPqeqzBFdxc
San Sushi Ashkelon,4.0,589,Yefe Nof St 27,Ashkelon,,IL,http://sun-sushi.co.il/,+972 8-850-3311,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=San%20Sushi%20Ashkelon&query_place_id=ChIJPcefK6CeAhURPTvozHmQpFc
Pundak Benny,3.7,612,Derech Ben Gurion 109,Bat Yam,,IL,http://www.rol.co.il/sites/pundak-benny/,+972 73-758-4292,Grill,https://www.google.com/maps/search/?api=1&query=Pundak%20Benny&query_place_id=ChIJLeCecT2zAhURPtOj_cVhTWo
Italian at Ashdod,3.6,124,Onyon St 5,Ashdod,,IL,http://italian.co.il/,+972 50-999-0945,Restaurant,https://www.google.com/maps/search/?api=1&query=Italian%20at%20Ashdod&query_place_id=ChIJXYEFfU2iAhURmEV_3VUb8jQ
River Noodles Bar,3.8,404,"מרכז רוגובין, HaDugit St 16",Yavne,,IL,http://river-bar.co.il/,+972 3-716-1520,Asian restaurant,https://www.google.com/maps/search/?api=1&query=River%20Noodles%20Bar&query_place_id=ChIJfRNSSme6AhUREknrvewWjTs
Hummus Inty,4.7,493,Tsvi Bornstein St 657,Yeruham,,IL,http://inti.co.il/,+972 55-307-3333,Restaurant,https://www.google.com/maps/search/?api=1&query=Hummus%20Inty&query_place_id=ChIJsdkJLI8_AhURqdno3G4L4UQ
badook burger,4.4,92,Tsahal St 28,Gan Yavne,,IL,https://apps.apple.com/il/app/%D7%91%D7%93%D7%95%D7%A7/id6451134176?l=he,+972 50-771-2377,Hamburger restaurant,https://www.google.com/maps/search/?api=1&query=badook%20burger&query_place_id=ChIJrUs2Nge9AhURR7svTff0Evs
Falafel Boaron,4.5,661,Herzl St 44,Ashkelon,,IL,https://did.li/boaron,+972 8-860-3033,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=Falafel%20Boaron&query_place_id=ChIJV2gC6HGcAhUR5Hv1FCJjjzw
Joya,4.0,1394,HaNamal St 9,Ashkelon,,IL,http://www.joya-sushi.co.il/,+972 8-668-6565,Asian restaurant,https://www.google.com/maps/search/?api=1&query=Joya&query_place_id=ChIJqfZZ9zWcAhURI0-ozYLuDKY
HaMaavara Bar,4.2,69,Tsvi Bornstein St 1,Yeruham,,IL,https://easy.co.il/page/10019668,+972 50-565-2030,Bar & grill,https://www.google.com/maps/search/?api=1&query=HaMaavara%20Bar&query_place_id=ChIJp0ohknA_AhURH0xkcmujZjE
בולס בורגר נהריה,4.5,105,Ha-Hagana St 29,Nahariyya,,IL,https://bullsburger.co.il/%D7%AA%D7%A4%D7%A8%D7%99%D7%98-%D7%A0%D7%94%D7%A8%D7%99%D7%94/,+972 1-700-700-722,Hamburger restaurant,https://www.google.com/maps/search/?api=1&query=%D7%91%D7%95%D7%9C%D7%A1%20%D7%91%D7%95%D7%A8%D7%92%D7%A8%20%D7%A0%D7%94%D7%A8%D7%99%D7%94&query_place_id=ChIJ3yt0zsTPHRURPNvZuvCHkyo
Nisso HaDayag,3.8,1786,"מתחם המרינה, Bat Galim St 1",Ashkelon,,IL,http://www.nissorest.co.il/,+972 8-995-4545,Restaurant,https://www.google.com/maps/search/?api=1&query=Nisso%20HaDayag&query_place_id=ChIJvbRJxDWcAhURhKDET2sQqeg
רובן אשקלון,4.2,265,HaNamal St 9,Ashkelon,,IL,https://www.rubenisrael.co.il/branches/ashkelon,+972 8-675-3353,Hamburger restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A8%D7%95%D7%91%D7%9F%20%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F&query_place_id=ChIJna8HLLOdAhUR6d97z8LJFq8
Landwer Cafe,3.8,1416,HaNamal St 9,Ashkelon,,IL,http://www.landwercafe.co.il/,+972 8-991-9960,Coffee shop,https://www.google.com/maps/search/?api=1&query=Landwer%20Cafe&query_place_id=ChIJBeEn4DWcAhUR3EiiLzRSS8g
סושי וייט,4.1,631,Shidlovski St 1,Yavne,,IL,http://whitesushibar.co.il/,+972 8-932-8888,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%95%D7%A9%D7%99%20%D7%95%D7%99%D7%99%D7%98&query_place_id=ChIJAS_fLoGwAhURqmb4h83EXAw
Benny the Fisherman,3.8,1917,HaTayelet 19,Rishon LeZion,,IL,http://www.rol.co.il/sites/benny-hadayag-rishon/,+972 3-544-0050,Fish restaurant,https://www.google.com/maps/search/?api=1&query=Benny%20the%20Fisherman&query_place_id=ChIJ-R_PcayzAhURLC1Q03LHj1g
The Pizzeria,4.4,582,Derech Ben Gurion 136,Bat Yam,,IL,http://thepizzeria.co.il/,+972 1-700-555-077,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=The%20Pizzeria&query_place_id=ChIJQ-TfKwGzAhURDd3IseCfzvw
Shipudei Tzipora,3.8,2062,Sha'ul Bar St 5,Bat Yam,,IL,http://tzipora-batyam.co.il/,+972 3-659-1432,Middle Eastern restaurant,https://www.google.com/maps/search/?api=1&query=Shipudei%20Tzipora&query_place_id=ChIJ0aNl4juzAhURtlCn8pMud0k
Holland Chips,4.3,576,Rogozin St 74,Ashdod,,IL,https://hollandchips.orderss.co.il/,+972 77-200-5463,Restaurant,https://www.google.com/maps/search/?api=1&query=Holland%20Chips&query_place_id=ChIJDcSyxaujAhURaLnIZznELfA
Shemesh Pizza,4.2,36,"מ""ד המעפילים 215",Dimona,,IL,https://pizza-shemesh.co.il/,+972 8-374-0077,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=Shemesh%20Pizza&query_place_id=ChIJcVG2DANGAhURblIFIVSU1kE
pizza pazzaz dimona,4.1,194,"מלכי ישראל 1045, Malkei Israel",Tel Aviv-Yafo,,IL,http://www.piza-pazzaz.co.il/%D7%94%D7%A1%D7%A0%D7%99%D7%A4%D7%99%D7%9D-%D7%A9%D7%9C%D7%A0%D7%95/%D7%A1%D7%A0%D7%99%D7%A4%D7%99%D7%9D-%D7%91%D7%93%D7%A8%D7%95%D7%9D/%D7%A1%D7%A0%D7%99%D7%A3-%D7%91%D7%9F-%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%9F-%D7%93%D7%99%D7%9E%D7%95%D7%A0%D7%94/,+972 8-657-0550,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=pizza%20pazzaz%20dimona&query_place_id=ChIJYStdaf5FAhURRYleTluH_B4
מוזס שופ דימונה,4.0,25,מסוף אגד/קניון פרץ סנטר,Dimona,,IL,https://moses-shop.com/dimona/,+972 52-900-3246,Hamburger restaurant,https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%95%D7%96%D7%A1%20%D7%A9%D7%95%D7%A4%20%D7%93%D7%99%D7%9E%D7%95%D7%A0%D7%94&query_place_id=ChIJMa1pMxVHAhURL_CO_z9sbIo
Pizza Hut,4.0,124,קניון פרץ,Dimona,,IL,https://www.pizzahut.co.il/branch/dimona/,+972 1-700-506-070,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=Pizza%20Hut&query_place_id=ChIJm_2daBRGAhURF1czkZ3LkFc
פיתה בשר - סניף דימונה,4.1,12,"מתחם פז סנטר, פיתה בשר",Dimona,,IL,https://www.rest.co.il/rest/80383448/,+972 8-665-9771,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%99%D7%AA%D7%94%20%D7%91%D7%A9%D7%A8%20-%20%D7%A1%D7%A0%D7%99%D7%A3%20%D7%93%D7%99%D7%9E%D7%95%D7%A0%D7%94&query_place_id=ChIJ7e4TJMtHAhURcGjocPLm3y8
Falafel Arava,4.6,20,,Hazeva,,IL,http://www.instagram.com/falafel.arava/,+972 50-919-8187,Falafel restaurant,https://www.google.com/maps/search/?api=1&query=Falafel%20Arava&query_place_id=ChIJNzHnaanNAxUR0SY2eX3olZ0
Pizza,4.0,188,Tsvi Bornstein St 312,Yeruham,,IL,http://www.piza-pazzaz.co.il/%D7%94%D7%A1%D7%A0%D7%99%D7%A4%D7%99%D7%9D-%D7%A9%D7%9C%D7%A0%D7%95/%D7%A1%D7%A0%D7%99%D7%A4%D7%99%D7%9D-%D7%91%D7%93%D7%A8%D7%95%D7%9D/%D7%A1%D7%A0%D7%99%D7%A3-%D7%99%D7%A8%D7%95%D7%97%D7%9D/,+972 8-659-5522,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Pizza&query_place_id=ChIJU_6mLAFGAhURJLGACdZyvTQ
פיצה זברה,4.4,267,Mivtsa Sinai St 16,Bat Yam,,IL,https://www.facebook.com/p/%D7%A4%D7%99%D7%A6%D7%94-%D7%96%D7%91%D7%A8%D7%94-100061943934972/,+972 3-946-7222,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%99%D7%A6%D7%94%20%D7%96%D7%91%D7%A8%D7%94&query_place_id=ChIJo9aC1kOzAhURsLKe80To8kI
Turkish Original Burekas,4.0,133,HaPo'alim St 5,Dimona,,IL,https://israelbusinessguide.com/catalog/dimona/turkish_original_burekas/,+972 8-940-2280,Buffet restaurant,https://www.google.com/maps/search/?api=1&query=Turkish%20Original%20Burekas&query_place_id=ChIJOwyxdBNGAhURkTcfNKLxMMI
yaffa's restaurant,4.5,13,0,Negba,,IL,https://www.facebook.com/%D7%94%D7%9E%D7%A1%D7%A2%D7%93%D7%94-%D7%A9%D7%9C-%D7%99%D7%A4%D7%94-104433380921076/,+972 8-677-4671,Restaurant,https://www.google.com/maps/search/?api=1&query=yaffa's%20restaurant&query_place_id=ChIJj5C3BQKaAhURtkdpxSEML-k
Avazim Restaurant,2.9,436,"יס פלאנט, HaMea VeEsrim St 4",Rishon LeZion,,IL,http://haavazim.com/,+972 73-758-5408,Kosher restaurant,https://www.google.com/maps/search/?api=1&query=Avazim%20Restaurant&query_place_id=ChIJOZYbRRSzAhURSKY0rSDfUxc
Tzachi Meats,4.1,1132,Herzl St 82,Bat Yam,,IL,http://www.tzahib.co.il/,+972 3-659-0742,Kosher restaurant,https://www.google.com/maps/search/?api=1&query=Tzachi%20Meats&query_place_id=ChIJCaP56hazAhUROq1Dc7afzS4
Sushi House Dimona,3.6,200,כביש 25,Dimona,,IL,https://sushihouse.co.il/,+972 77-506-9224,Asian restaurant,https://www.google.com/maps/search/?api=1&query=Sushi%20House%20Dimona&query_place_id=ChIJHXnoKflHAhURroo-uUFL-Yo
פיצה גולי Guli דימונה,4.3,61,Leon Birenbo'im St 1,Dimona,,IL,https://tabitisrael.co.il/tabit-order?siteName=guli&step=enter,+972 77-739-2792,Restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%99%D7%A6%D7%94%20%D7%92%D7%95%D7%9C%D7%99%20Guli%20%D7%93%D7%99%D7%9E%D7%95%D7%A0%D7%94&query_place_id=ChIJ40AZrRhHAhUR3TpzMzBa3Cc
Mr. jack burgers,4.5,413,Ha'Atsmaut Blvd 77,Bat Yam,,IL,https://mr-jack.web.delivery/,+972 3-647-6737,Hamburger restaurant,https://www.google.com/maps/search/?api=1&query=Mr.%20jack%20burgers&query_place_id=ChIJkyWGUTizAhURO5zqlvC-KhU
פרנקו אשקלון - מסעדה חלבית,4.1,1058,Herzl St 4,Ashkelon,,IL,https://francoashkelon.co.il/,+972 8-672-2243,Restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%A8%D7%A0%D7%A7%D7%95%20%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F%20-%20%D7%9E%D7%A1%D7%A2%D7%93%D7%94%20%D7%97%D7%9C%D7%91%D7%99%D7%AA&query_place_id=ChIJAzgGLXCcAhURiXwfHvkDiKA
Hummus Asli,4.5,2052,Yefet St 73,Tel Aviv-Yafo,,IL,https://www.mishlohim.co.il/menu/8163/,+972 3-681-3435,Israeli restaurant,https://www.google.com/maps/search/?api=1&query=Hummus%20Asli&query_place_id=ChIJUWhAGrZMHRURGsJ0xcpwRBY
Stella Beach,3.9,3110,HaTayelet 6,Rishon LeZion,,IL,https://www.gorillacafe.co.il/,+972 77-410-1422,Fish restaurant,https://www.google.com/maps/search/?api=1&query=Stella%20Beach&query_place_id=ChIJh7iUJhqzAhURRalE-z2KD3w
Urbano,4.1,1282,Olei Zion St 2,Tel Aviv-Yafo,,IL,https://urbano.restaurant/,+972 3-629-1453,Restaurant,https://www.google.com/maps/search/?api=1&query=Urbano&query_place_id=ChIJ4Y55LrlMHRURc2z8zcT6c24
McDonald's,3.5,367,HaMeginim St 56,Gan Yavne,,IL,https://www.mcdonalds.co.il/,+972 52-944-0219,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=McDonald's&query_place_id=ChIJx492iwu9AhURytVB8GZFyTo
Café Café,4.0,1284,קניון פרץ סנטר,Dimona,,IL,http://www.cafecafe.co.il/,+972 8-669-8040,Cafe,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Caf%C3%A9&query_place_id=ChIJ1-AaYRRGAhURFwMW-KGzHdk
בורגראנץ׳,2.9,31,"איזור תעשייה, HaPo'alim St 5",Dimona,,IL,http://www.burgeranch.co.il/,,Hamburger restaurant,https://www.google.com/maps/search/?api=1&query=%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%90%D7%A0%D7%A5%D7%B3&query_place_id=ChIJ9VsTLxNGAhURXdze9dL_iFY
הדרומית דימונה - מסעדת בשרים כשרה,4.5,129,HaMasger St 78,Dimona,,IL,https://tabitisrael.co.il/%D7%94%D7%96%D7%9E%D7%A0%D7%AA-%D7%9E%D7%A7%D7%95%D7%9D/create-reservation?step=search&orgId=66cdbdc85ddec9271760cd5c&locale=he-IL&source=facebook&type=future_reservation,+972 54-355-5393,Kosher restaurant,https://www.google.com/maps/search/?api=1&query=%D7%94%D7%93%D7%A8%D7%95%D7%9E%D7%99%D7%AA%20%D7%93%D7%99%D7%9E%D7%95%D7%A0%D7%94%20-%20%D7%9E%D7%A1%D7%A2%D7%93%D7%AA%20%D7%91%D7%A9%D7%A8%D7%99%D7%9D%20%D7%9B%D7%A9%D7%A8%D7%94&query_place_id=ChIJXfiFzFdHAhURgSHZqX6sbiU
פרנה בכיכר,4.3,6,Sderot HaNassi 5,Dimona,,IL,https://easy.co.il/page/26142942,+972 8-657-9330,Restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%A8%D7%A0%D7%94%20%D7%91%D7%9B%D7%99%D7%9B%D7%A8&query_place_id=ChIJcef7zwRGAhURWcWc4YaCclg
פלאפל בריבוע eat&go - פז דימונה,3.9,9,מתחם פז סנטר דימונה,Dimona,,IL,http://www.falafelbaribua.co.il/,+972 52-415-6722,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%9C%D7%90%D7%A4%D7%9C%20%D7%91%D7%A8%D7%99%D7%91%D7%95%D7%A2%20eat%26go%20-%20%D7%A4%D7%96%20%D7%93%D7%99%D7%9E%D7%95%D7%A0%D7%94&query_place_id=ChIJrRz6Bu1HAhURas1o-XkW2M0
המסעדה של אסף,,0,Sderot Yig'al Alon 105,Dimona,,IL,https://barkodglobal.com/assafs-restaurant/,+972 53-827-4888,Kosher restaurant,https://www.google.com/maps/search/?api=1&query=%D7%94%D7%9E%D7%A1%D7%A2%D7%93%D7%94%20%D7%A9%D7%9C%20%D7%90%D7%A1%D7%A3&query_place_id=ChIJQRbJabNHAhURT0u3PHSoI8A
פיצה פביוס יבנה Fabios Pizza Yavne,4.0,251,"מרכז מסחרי לב, Sderot Du'ani 20",Yavne,,IL,https://www.mishlohim.co.il/menu/5270/,+972 8-942-0960,Pizza restaurant,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%99%D7%A6%D7%94%20%D7%A4%D7%91%D7%99%D7%95%D7%A1%20%D7%99%D7%91%D7%A0%D7%94%20Fabios%20Pizza%20Yavne&query_place_id=ChIJm2MEamW6AhURdly9NEPoUN8
מקדונלד'ס - קניון דמרי סנטר דימונה (כשר),2.6,20,"המעפיל פינת, Sderot Golda Me'ir",Dimona,,IL,https://www.mcdonalds.co.il/,+972 54-336-0276,Fast food restaurant,https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%A7%D7%93%D7%95%D7%A0%D7%9C%D7%93'%D7%A1%20-%20%D7%A7%D7%A0%D7%99%D7%95%D7%9F%20%D7%93%D7%9E%D7%A8%D7%99%20%D7%A1%D7%A0%D7%98%D7%A8%20%D7%93%D7%99%D7%9E%D7%95%D7%A0%D7%94%20(%D7%9B%D7%A9%D7%A8)&query_place_id=ChIJE2N4KbFHAhURQg7Okr3Vj9s
Cafè Lyon,4.4,2301,Derech HaRakevet 1,Ashdod,,IL,https://www.facebook.com/%D7%A7%D7%A4%D7%94-%D7%9C%D7%99%D7%95%D7%9F-Big-Fashion-%D7%90%D7%A9%D7%93%D7%95%D7%93-188626381299818/,+972 8-631-5758,Cafe,https://www.google.com/maps/search/?api=1&query=Caf%C3%A8%20Lyon&query_place_id=ChIJjwsP7MKiAhURis1dyzUlt4o
מסעדת ערמונים,4.0,667,,Sde Yoav,,IL,https://armmonim.co.il/,+972 8-979-7997,Kosher restaurant,https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%A1%D7%A2%D7%93%D7%AA%20%D7%A2%D7%A8%D7%9E%D7%95%D7%A0%D7%99%D7%9D&query_place_id=ChIJ2fLJPy6bAhUR5bf40xk0EQc
